	median_Reporter intensity 1	median_Reporter intensity 2	median_Reporter intensity 3	median_Reporter intensity 4	median_Reporter intensity 5	median_Reporter intensity 6	median_Reporter intensity 7	median_Reporter intensity 8	median_Reporter intensity 9
Tb927.10.9870	0.094510661	0.099179729	0.108013281	0.117313997	0.112275023	0.116754767	0.118327679	0.117207058	0.115476187
Tb927.10.9890;Tb11.v5.0458	0.123952327	0.115660052	0.114837912	0.107770613	0.109561812	0.106217193	0.104721605	0.108428066	0.107083973
Tb927.10.9900	0.116829686	0.1119618	0.111983567	0.10941914	0.11089065	0.111073229	0.108367921	0.109813047	0.11104671
Tb927.10.9910	0.107558877	0.107612778	0.106884232	0.109512582	0.111907769	0.111334316	0.116764946	0.111929525	0.115054682
Tb927.10.9920	0.102530163	0.112414431	0.113305815	0.113029744	0.114296973	0.11373664	0.110598903	0.110781101	0.110108069
Tb927.10.9930;Tb11.v5.0794	0.106615982	0.11653074	0.121763519	0.113393	0.114009725	0.109265906	0.108009526	0.100041753	0.11036985
Tb927.10.9950	0.113562459	0.11432739	0.112060221	0.105313912	0.106752394	0.119821212	0.117254703	0.096429934	0.108857834
Tb927.10.9960	0.11929965	0.118282837	0.118792566	0.110250604	0.117522609	0.101655647	0.098521212	0.106511401	0.104945727
Tb927.10.9970	0.122956937	0.115858559	0.115294403	0.10810357	0.111213895	0.108199238	0.10477592	0.107244977	0.104602099
Tb927.10.9980	0.112276222	0.110706396	0.113262401	0.112644568	0.111623014	0.107389042	0.107703675	0.108252459	0.113270633
Tb927.10.9990	0.110186092	0.105459514	0.110565436	0.109518485	0.110128078	0.109238845	0.11699768	0.113089068	0.118632665
Tb927.11.10000	0.105173908	0.103778674	0.11032054	0.1144889	0.106707037	0.114272623	0.121440352	0.111913309	0.111904649
Tb927.11.10010	0.115207776	0.116095595	0.113658779	0.111846208	0.109060711	0.105241887	0.109990969	0.108073347	0.106817474
Tb927.11.10020	0.113876521	0.111361578	0.11318119	0.110021244	0.109256894	0.11118888	0.111132712	0.108677537	0.111431574
Tb927.11.10030	0.106009665	0.102746679	0.107386252	0.111270616	0.111080713	0.114449504	0.117020728	0.111664238	0.11603887
Tb927.11.10040	0.131711138	0.114308548	0.123230829	0.107390002	0.10899167	0.108373017	0.107407304	0.111360183	0.105471712
Tb927.11.10060	0.119681696	0.118192342	0.110683844	0.109013972	0.106348453	0.107580845	0.109725152	0.109455869	0.110341231
Tb927.11.10070	0.107713822	0.110017012	0.106557308	0.111519209	0.106010749	0.114855497	0.114417167	0.11508628	0.112347557
Tb927.11.10080	0.122067238	0.104639695	0.110543985	0.110784362	0.112143993	0.110206545	0.10426605	0.113875786	0.109336481
Tb927.11.10090	0.1067949	0.108235643	0.105086367	0.109708242	0.106043853	0.112486605	0.118087711	0.116219396	0.117146697
Tb927.11.1010	0.114948101	0.103339619	0.106484115	0.112759506	0.107372076	0.111362156	0.112341814	0.114354876	0.11596891
